不一定	不一定	bù yī dìng	ㄅㄨˋ ㄧ ㄉㄧㄥˋ		不一定bù yī dìngㄅㄨˋ ㄧ ㄉㄧㄥˋnot necessarily maybe
好久	好久	hǎo jiǔ	ㄏㄠˇ ㄐㄧㄡˇ		好久hǎo jiǔㄏㄠˇ ㄐㄧㄡˇquite a while
顾客	顧客	gù kè	ㄍㄨˋ ㄎㄜˋ		顾客〔顧客〕gù kèㄍㄨˋ ㄎㄜˋclient customer CL:位[wei4]
方便	方便	fāng biàn	ㄈㄤ ㄅㄧㄢˋ		方便fāng biànㄈㄤ ㄅㄧㄢˋconvenient suitable to facilitate to make things easy having money to spare (euphemism) to relieve oneself
黄	黃	Huáng, huáng	ㄏㄨㄤˊ		黄〔黃〕Huángㄏㄨㄤˊsurname Huang or Hwang黄〔黃〕huángㄏㄨㄤˊyellow pornographic to fall through
观点	觀點	guān diǎn	ㄍㄨㄢ ㄉㄧㄢˇ		观点〔觀點〕guān diǎnㄍㄨㄢ ㄉㄧㄢˇpoint of view viewpoint standpoint CL:個|个[ge4]
小说	小說	xiǎo shuō	ㄒㄧㄠˇ ㄕㄨㄛ		小说〔小說〕xiǎo shuōㄒㄧㄠˇ ㄕㄨㄛnovel fiction CL:本[ben3],部[bu4]
雪	雪	Xuě, xuě	ㄒㄩㄝˇ		雪Xuěㄒㄩㄝˇsurname Xue雪xuěㄒㄩㄝˇsnow snowfall CL:場|场[chang2] to have the appearance of snow to wipe away, off or out to clean
交通	交通	jiāo tōng	ㄐㄧㄠ ㄊㄨㄥ		交通jiāo tōngㄐㄧㄠ ㄊㄨㄥto be connected traffic transportation communications liaison
洗澡	洗澡	xǐ zǎo	ㄒㄧˇ ㄗㄠˇ		洗澡xǐ zǎoㄒㄧˇ ㄗㄠˇto bathe to take a shower
公路	公路	gōng lù	ㄍㄨㄥ ㄌㄨˋ		公路gōng lùㄍㄨㄥ ㄌㄨˋhighway road CL:條|条[tiao2]
校长	校長	xiào zhǎng	ㄒㄧㄠˋ ㄓㄤˇ		校长〔校長〕xiào zhǎngㄒㄧㄠˋ ㄓㄤˇ(college, university) president headmaster CL:個|个[ge4],位[wei4],名[ming2]
坏人	壞人	huài rén	ㄏㄨㄞˋ ㄖㄣˊ		坏人〔壞人〕huài rénㄏㄨㄞˋ ㄖㄣˊbad person villain
水平	水平	shuǐ píng	ㄕㄨㄟˇ ㄆㄧㄥˊ		水平shuǐ píngㄕㄨㄟˇ ㄆㄧㄥˊlevel (of achievement etc) standard horizontal
作业	作業	zuò yè	ㄗㄨㄛˋ ㄧㄝˋ		作业〔作業〕zuò yèㄗㄨㄛˋ ㄧㄝˋschool assignment homework work task operation CL:個|个[ge4] to operate
高级	高級	gāo jí	ㄍㄠ ㄐㄧˊ		高级〔高級〕gāo jíㄍㄠ ㄐㄧˊhigh level high grade advanced high-ranking
取得	取得	qǔ dé	ㄑㄩˇ ㄉㄜˊ		取得qǔ déㄑㄩˇ ㄉㄜˊto acquire to get to obtain
熟	熟	shú	ㄕㄨˊ		熟shúㄕㄨˊcooked (of food) ripe (of fruit) mature (of seeds) familiar skilled done also pr. [shou2]
座位	座位	zuò wèi	ㄗㄨㄛˋ ㄨㄟˋ		座位zuò wèiㄗㄨㄛˋ ㄨㄟˋseat CL:個|个[ge4]
绿色	綠色	lǜ sè	ㄌㄩˋ ㄙㄜˋ		绿色〔綠色〕lǜ sèㄌㄩˋ ㄙㄜˋgreen
心中	心中	xīn zhōng	ㄒㄧㄣ ㄓㄨㄥ		"心中xīn zhōngㄒㄧㄣ ㄓㄨㄥcentral point in one's thoughts in one's heart"
白色	白色	bái sè	ㄅㄞˊ ㄙㄜˋ		白色bái sèㄅㄞˊ ㄙㄜˋwhite fig. reactionary anti-communist
老朋友	老朋友	lǎo péng you	ㄌㄠˇ ㄆㄥˊ ㄧㄡ˙		老朋友lǎo péng youㄌㄠˇ ㄆㄥˊ ㄧㄡ˙old friend (slang) period menstruation
不久	不久	bù jiǔ	ㄅㄨˋ ㄐㄧㄡˇ		不久bù jiǔㄅㄨˋ ㄐㄧㄡˇnot long (after) before too long soon soon after
便宜	便宜	biàn yí, pián yi	ㄅㄧㄢˋ ㄧˊ, ㄆㄧㄢˊ ㄧ˙		便宜biàn yíㄅㄧㄢˋ ㄧˊconvenient便宜pián yiㄆㄧㄢˊ ㄧ˙cheap inexpensive small advantages to let sb off lightly
停车场	停車場	tíng chē chǎng	ㄊㄧㄥˊ ㄔㄜ ㄔㄤˇ		停车场〔停車場〕tíng chē chǎngㄊㄧㄥˊ ㄔㄜ ㄔㄤˇparking lot car park
大量	大量	dà liàng	ㄉㄚˋ ㄌㄧㄤˋ		大量dà liàngㄉㄚˋ ㄌㄧㄤˋgreat amount large quantity bulk numerous generous magnanimous
占	占	zhàn, zhān	ㄓㄢˋ, ㄓㄢ		占zhànㄓㄢˋvariant of 占[zhan4] to take possession of to occupy to take up占zhānㄓㄢto observe to divine
咱	喒	zán, zá	ㄗㄢˊ, ㄗㄚˊ		咱〔喒〕zánㄗㄢˊvariant of 咱[zan2] I or me we (including both the speaker and the person spoken to) variant of 咱[zan2]咱〔喒〕záㄗㄚˊsee 咱[zan2]
比如说	比如說	bǐrúshuō	ㄅㄧˇ ㄖㄨˊ ㄕㄨㄛ		比如说〔比如說〕bǐrúshuōㄅㄧˇ ㄖㄨˊ ㄕㄨㄛFor example
湖	湖	hú	ㄏㄨˊ		湖húㄏㄨˊlake CL:個|个[ge4],片[pian4]
网站	網站	wǎng zhàn	ㄨㄤˇ ㄓㄢˋ		网站〔網站〕wǎng zhànㄨㄤˇ ㄓㄢˋwebsite network station node
成绩	成績	chéng jì	ㄔㄥˊ ㄐㄧˋ		成绩〔成績〕chéng jìㄔㄥˊ ㄐㄧˋachievement performance records grades CL:項|项[xiang4],個|个[ge4]
网	網	wǎng	ㄨㄤˇ		网〔網〕wǎngㄨㄤˇnet network
碗	碗	wǎn	ㄨㄢˇ		碗wǎnㄨㄢˇvariant of 碗[wan3] variant of 碗[wan3] variant of 碗[wan3] bowl cup CL:隻|只[zhi1],個|个[ge4]
商量	商量	shāng liang	ㄕㄤ ㄌㄧㄤ˙		商量shāng liangㄕㄤ ㄌㄧㄤ˙to consult to talk over to discuss
站住	站住	zhàn zhù	ㄓㄢˋ ㄓㄨˋ		站住zhàn zhùㄓㄢˋ ㄓㄨˋto stand
以外	以外	yǐ wài	ㄧˇ ㄨㄞˋ		以外yǐ wàiㄧˇ ㄨㄞˋapart from other than except for external outside of on the other side of beyond
快要	快要	kuài yào	ㄎㄨㄞˋ ㄧㄠˋ		快要kuài yàoㄎㄨㄞˋ ㄧㄠˋalmost nearly almost all
南方	南方	nán fāng	ㄋㄢˊ ㄈㄤ		南方nán fāngㄋㄢˊ ㄈㄤsouth the southern part of the country the South
绿	綠	lǜ	ㄌㄩˋ		绿〔綠〕lǜㄌㄩˋgreen
花园	花園	huā yuán	ㄏㄨㄚ ㄩㄢˊ		花园〔花園〕huā yuánㄏㄨㄚ ㄩㄢˊgarden CL:座[zuo4],個|个[ge4]
草	草	cǎo, cào	ㄘㄠˇ, ㄘㄠˋ		草cǎoㄘㄠˇvariant of 草[cao3] grass straw manuscript draft (of a document) careless rough CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]草càoㄘㄠˋvariant of 肏[cao4]
大声	大聲	dà shēng	ㄉㄚˋ ㄕㄥ		大声〔大聲〕dà shēngㄉㄚˋ ㄕㄥloud voice in a loud voice loudly
全身	全身	quán shēn	ㄑㄩㄢˊ ㄕㄣ		全身quán shēnㄑㄩㄢˊ ㄕㄣwhole body em (typography)
篮球	籃球	lán qiú	ㄌㄢˊ ㄑㄧㄡˊ		篮球〔籃球〕lán qiúㄌㄢˊ ㄑㄧㄡˊbasketball CL:個|个[ge4],隻|只[zhi1]
流行	流行	liú xíng	ㄌㄧㄡˊ ㄒㄧㄥˊ		流行liú xíngㄌㄧㄡˊ ㄒㄧㄥˊ(of a contagious disease etc) to spread to propagate (of a style of clothing, song etc) popular fashionable
对话	對話	duì huà	ㄉㄨㄟˋ ㄏㄨㄚˋ		对话〔對話〕duì huàㄉㄨㄟˋ ㄏㄨㄚˋdialog CL:個|个[ge4]
自行车	自行車	zì xíng chē	ㄗˋ ㄒㄧㄥˊ ㄔㄜ		自行车〔自行車〕zì xíng chēㄗˋ ㄒㄧㄥˊ ㄔㄜbicycle bike CL:輛|辆[liang4]
平常	平常	píng cháng	ㄆㄧㄥˊ ㄔㄤˊ		平常píng chángㄆㄧㄥˊ ㄔㄤˊordinary common usually ordinarily
以下	以下	yǐ xià	ㄧˇ ㄒㄧㄚˋ		以下yǐ xiàㄧˇ ㄒㄧㄚˋthat level or lower that amount or less the following
提高	提高	tí gāo	ㄊㄧˊ ㄍㄠ		提高tí gāoㄊㄧˊ ㄍㄠto raise to increase to improve
亿	億	yì	ㄧˋ		亿〔億〕yìㄧˋ100 million
等于	等於	děng yú	ㄉㄥˇ ㄩˊ		等于〔等於〕děng yúㄉㄥˇ ㄩˊto equal to be tantamount to
家长	家長	jiā zhǎng	ㄐㄧㄚ ㄓㄤˇ		家长〔家長〕jiā zhǎngㄐㄧㄚ ㄓㄤˇhead of a household family head patriarch parent or guardian of a child
实际	實際	shí jì	ㄕˊ ㄐㄧˋ		实际〔實際〕shí jìㄕˊ ㄐㄧˋreality practice practical realistic real actual
起飞	起飛	qǐ fēi	ㄑㄧˇ ㄈㄟ		起飞〔起飛〕qǐ fēiㄑㄧˇ ㄈㄟ(of an aircraft) to take off
友好	友好	Yǒu hǎo, yǒu hǎo	ㄧㄡˇ ㄏㄠˇ		友好Yǒu hǎoㄧㄡˇ ㄏㄠˇYouhao district of Yichun city 伊春市[Yi1 chun1 shi4], Heilongjiang友好yǒu hǎoㄧㄡˇ ㄏㄠˇfriendly amicable close friend
晚会	晚會	wǎn huì	ㄨㄢˇ ㄏㄨㄟˋ		晚会〔晚會〕wǎn huìㄨㄢˇ ㄏㄨㄟˋevening party CL:個|个[ge4]
广场	廣場	guǎng chǎng	ㄍㄨㄤˇ ㄔㄤˇ		广场〔廣場〕guǎng chǎngㄍㄨㄤˇ ㄔㄤˇpublic square plaza
黄色	黃色	huáng sè	ㄏㄨㄤˊ ㄙㄜˋ		黄色〔黃色〕huáng sèㄏㄨㄤˊ ㄙㄜˋyellow (color) pornographic
星星	星星	xīng xing	ㄒㄧㄥ ㄒㄧㄥ˙		星星xīng xingㄒㄧㄥ ㄒㄧㄥ˙star in the sky
球队	球隊	qiú duì	ㄑㄧㄡˊ ㄉㄨㄟˋ		球队〔球隊〕qiú duìㄑㄧㄡˊ ㄉㄨㄟˋsports team (basketball, soccer, football etc)
出门	出門	chū mén	ㄔㄨ ㄇㄣˊ		出门〔出門〕chū ménㄔㄨ ㄇㄣˊto go out to leave home to go on a journey away from home (of a woman) to get married
准确	準確	zhǔn què	ㄓㄨㄣˇ ㄑㄩㄝˋ		准确〔準確〕zhǔn quèㄓㄨㄣˇ ㄑㄩㄝˋaccurate exact precise
平时	平時	píng shí	ㄆㄧㄥˊ ㄕˊ		平时〔平時〕píng shíㄆㄧㄥˊ ㄕˊordinarily in normal times in peacetime
对面	對面	duì miàn	ㄉㄨㄟˋ ㄇㄧㄢˋ		对面〔對面〕duì miànㄉㄨㄟˋ ㄇㄧㄢˋ(sitting) opposite across (the street) directly in front to be face to face
懂得	懂得	dǒng de	ㄉㄨㄥˇ ㄉㄜ˙		懂得dǒng deㄉㄨㄥˇ ㄉㄜ˙to understand to know to comprehend
地铁	地鐵	dì tiě	ㄉㄧˋ ㄊㄧㄝˇ		地铁〔地鐵〕dì tiěㄉㄧˋ ㄊㄧㄝˇsubway metro
道路	道路	dào lù	ㄉㄠˋ ㄌㄨˋ		道路dào lùㄉㄠˋ ㄌㄨˋroad path way CL:條|条[tiao2]
体育	體育	tǐ yù	ㄊㄧˇ ㄩˋ		体育〔體育〕tǐ yùㄊㄧˇ ㄩˋsports physical education
大门	大門	dà mén	ㄉㄚˋ ㄇㄣˊ		大门〔大門〕dà ménㄉㄚˋ ㄇㄣˊentrance door gate large and influential family
理想	理想	lǐ xiǎng	ㄌㄧˇ ㄒㄧㄤˇ		理想lǐ xiǎngㄌㄧˇ ㄒㄧㄤˇan ideal a dream ideal perfect
刻	刻	kè	ㄎㄜˋ		刻kèㄎㄜˋquarter (hour) moment to carve to engrave to cut oppressive classifier for short time intervals
假期	假期	jià qī	ㄐㄧㄚˋ ㄑㄧ		假期jià qīㄐㄧㄚˋ ㄑㄧvacation
题	題	Tí, tí	ㄊㄧˊ		题〔題〕Tíㄊㄧˊsurname Ti题〔題〕tíㄊㄧˊtopic problem for discussion exam question subject to inscribe to mention CL:個|个[ge4],道[dao4]
感动	感動	gǎn dòng	ㄍㄢˇ ㄉㄨㄥˋ		感动〔感動〕gǎn dòngㄍㄢˇ ㄉㄨㄥˋto move (sb) to touch (sb emotionally) moving
不如	不如	bù rú	ㄅㄨˋ ㄖㄨˊ		不如bù rúㄅㄨˋ ㄖㄨˊnot equal to not as good as inferior to it would be better to
护照	護照	hù zhào	ㄏㄨˋ ㄓㄠˋ		护照〔護照〕hù zhàoㄏㄨˋ ㄓㄠˋpassport CL:本[ben3],個|个[ge4]
节日	節日	jié rì	ㄐㄧㄝˊ ㄖˋ		节日〔節日〕jié rìㄐㄧㄝˊ ㄖˋholiday festival CL:個|个[ge4]
难受	難受	nán shòu	ㄋㄢˊ ㄕㄡˋ		难受〔難受〕nán shòuㄋㄢˊ ㄕㄡˋto feel unwell to suffer pain to be difficult to bear
院	院	yuàn	ㄩㄢˋ		院yuànㄩㄢˋcourtyard institution CL:個|个[ge4]
人口	人口	rén kǒu	ㄖㄣˊ ㄎㄡˇ		人口rén kǒuㄖㄣˊ ㄎㄡˇpopulation people
相机	相機	xiàng jī	ㄒㄧㄤˋ ㄐㄧ		相机〔相機〕xiàng jīㄒㄧㄤˋ ㄐㄧat the opportune moment as the circumstances allow abbr. for 照相機|照相机[zhao4 xiang4 ji1]
收入	收入	shōu rù	ㄕㄡ ㄖㄨˋ		收入shōu rùㄕㄡ ㄖㄨˋto take in income revenue CL:筆|笔[bi3],個|个[ge4]
公里	公里	gōng lǐ	ㄍㄨㄥ ㄌㄧˇ		公里gōng lǐㄍㄨㄥ ㄌㄧˇkilometer
全体	全體	quán tǐ	ㄑㄩㄢˊ ㄊㄧˇ		全体〔全體〕quán tǐㄑㄩㄢˊ ㄊㄧˇall entire
做饭	做飯	zuò fàn	ㄗㄨㄛˋ ㄈㄢˋ		做饭〔做飯〕zuò fànㄗㄨㄛˋ ㄈㄢˋto prepare a meal to cook
半夜	半夜	bàn yè	ㄅㄢˋ ㄧㄝˋ		半夜bàn yèㄅㄢˋ ㄧㄝˋmidnight in the middle of the night
以上	以上	yǐ shàng	ㄧˇ ㄕㄤˋ		以上yǐ shàngㄧˇ ㄕㄤˋthat level or higher that amount or more the above-mentioned
入口	入口	rù kǒu	ㄖㄨˋ ㄎㄡˇ		入口rù kǒuㄖㄨˋ ㄎㄡˇentrance to import
做法	做法	zuò fǎ	ㄗㄨㄛˋ ㄈㄚˇ		做法zuò fǎㄗㄨㄛˋ ㄈㄚˇway of handling sth method for making work method recipe practice CL:個|个[ge4]
平安	平安	píng ān	ㄆㄧㄥˊ ㄢ		平安píng ānㄆㄧㄥˊ ㄢsafe and sound well without mishap quiet and safe at peace
手表	手錶	shǒu biǎo	ㄕㄡˇ ㄅㄧㄠˇ		手表〔手錶〕shǒu biǎoㄕㄡˇ ㄅㄧㄠˇwrist watch CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]
爱人	愛人	ài ren	ㄞˋ ㄖㄣ˙		爱人〔愛人〕ài renㄞˋ ㄖㄣ˙spouse (PRC) lover (non-PRC) CL:個|个[ge4]
一共	一共	yī gòng	ㄧ ㄍㄨㄥˋ		一共yī gòngㄧ ㄍㄨㄥˋaltogether
姓名	姓名	xìng míng	ㄒㄧㄥˋ ㄇㄧㄥˊ		姓名xìng míngㄒㄧㄥˋ ㄇㄧㄥˊname and surname CL:個|个[ge4]
瓶子	瓶子	píng zi	ㄆㄧㄥˊ ㄗ˙		瓶子píng ziㄆㄧㄥˊ ㄗ˙bottle CL:個|个[ge4]
教师	教師	jiào shī	ㄐㄧㄠˋ ㄕ		教师〔教師〕jiào shīㄐㄧㄠˋ ㄕteacher CL:個|个[ge4]
大海	大海	dà hǎi	ㄉㄚˋ ㄏㄞˇ		大海dà hǎiㄉㄚˋ ㄏㄞˇsea ocean
组成	組成	zǔ chéng	ㄗㄨˇ ㄔㄥˊ		组成〔組成〕zǔ chéngㄗㄨˇ ㄔㄥˊto form to make up to constitute
参观	參觀	cān guān	ㄘㄢ ㄍㄨㄢ		参观〔參觀〕cān guānㄘㄢ ㄍㄨㄢto look around to tour to visit
车辆	車輛	chē liàng	ㄔㄜ ㄌㄧㄤˋ		车辆〔車輛〕chē liàngㄔㄜ ㄌㄧㄤˋvehicle
周年	週年	zhōu nián	ㄓㄡ ㄋㄧㄢˊ		周年〔週年〕zhōu niánㄓㄡ ㄋㄧㄢˊanniversary annual
旅游	旅遊	lǚ yóu	ㄌㄩˇ ㄧㄡˊ		旅游〔旅遊〕lǚ yóuㄌㄩˇ ㄧㄡˊtrip journey tourism travel tour to travel
单位	單位	dān wèi	ㄉㄢ ㄨㄟˋ		单位〔單位〕dān wèiㄉㄢ ㄨㄟˋunit (of measure) unit (group of people as a whole) work unit (place of employment, esp. in the PRC prior to economic reform) CL:個|个[ge4]
图片	圖片	tú piàn	ㄊㄨˊ ㄆㄧㄢˋ		图片〔圖片〕tú piànㄊㄨˊ ㄆㄧㄢˋimage picture photograph CL:張|张[zhang1]
影片	影片	yǐng piàn	ㄧㄥˇ ㄆㄧㄢˋ		影片yǐng piànㄧㄥˇ ㄆㄧㄢˋfilm movie CL:部[bu4]
全家	全家	quán jiā	ㄑㄩㄢˊ ㄐㄧㄚ		全家quán jiāㄑㄩㄢˊ ㄐㄧㄚwhole family
人数	人數	rén shù	ㄖㄣˊ ㄕㄨˋ		人数〔人數〕rén shùㄖㄣˊ ㄕㄨˋnumber of people
春天	春天	chūn tiān	ㄔㄨㄣ ㄊㄧㄢ		春天chūn tiānㄔㄨㄣ ㄊㄧㄢspring (season) CL:個|个[ge4]
天上	天上	tiān shàng	ㄊㄧㄢ ㄕㄤˋ		天上tiān shàngㄊㄧㄢ ㄕㄤˋcelestial heavenly
超市	超市	chāo shì	ㄔㄠ ㄕˋ		超市chāo shìㄔㄠ ㄕˋsupermarket abbr. for 超級市場|超级市场 CL:家[jia1]
排队	排隊	pái duì	ㄆㄞˊ ㄉㄨㄟˋ		排队〔排隊〕pái duìㄆㄞˊ ㄉㄨㄟˋto line up
例如	例如	lì rú	ㄌㄧˋ ㄖㄨˊ		例如lì rúㄌㄧˋ ㄖㄨˊfor example for instance such as
冬天	冬天	dōng tiān	ㄉㄨㄥ ㄊㄧㄢ		冬天dōng tiānㄉㄨㄥ ㄊㄧㄢwinter CL:個|个[ge4]
海边	海邊	hǎi biān	ㄏㄞˇ ㄅㄧㄢ		海边〔海邊〕hǎi biānㄏㄞˇ ㄅㄧㄢcoast seaside seashore beach
月亮	月亮	yuè liang	ㄩㄝˋ ㄌㄧㄤ˙		月亮yuè liangㄩㄝˋ ㄌㄧㄤ˙the moon
凉	涼	Liáng, liáng, liàng	ㄌㄧㄤˊ, ㄌㄧㄤˋ		凉〔涼〕Liángㄌㄧㄤˊthe five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉 (397-414), Western Liang 西涼|西凉 (400-421)凉〔涼〕liángㄌㄧㄤˊcool cold凉〔涼〕liàngㄌㄧㄤˋto let sth cool down
温度	溫度	wēn dù	ㄨㄣ ㄉㄨˋ		温度〔溫度〕wēn dùㄨㄣ ㄉㄨˋtemperature CL:個|个[ge4]
音乐会	音樂會	yīn yuè huì	ㄧㄣ ㄩㄝˋ ㄏㄨㄟˋ		音乐会〔音樂會〕yīn yuè huìㄧㄣ ㄩㄝˋ ㄏㄨㄟˋconcert CL:場|场[chang3]
青少年	青少年	qīng shào nián	ㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊ		青少年qīng shào niánㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊadolescent youth teenager
饱	飽	bǎo	ㄅㄠˇ		饱〔飽〕bǎoㄅㄠˇto eat till full satisfied
小声	小聲	xiǎo shēng	ㄒㄧㄠˇ ㄕㄥ		小声〔小聲〕xiǎo shēngㄒㄧㄠˇ ㄕㄥin a low voice (speak) in whispers
老是	老是	lǎo shi	ㄌㄠˇ ㄕ˙		老是lǎo shiㄌㄠˇ ㄕ˙always
住院	住院	zhù yuàn	ㄓㄨˋ ㄩㄢˋ		住院zhù yuànㄓㄨˋ ㄩㄢˋto be in hospital to be hospitalized
球场	球場	qiú chǎng	ㄑㄧㄡˊ ㄔㄤˇ		球场〔球場〕qiú chǎngㄑㄧㄡˊ ㄔㄤˇstadium sports ground court pitch field golf course CL:個|个[ge4],處|处[chu4]
计算机	計算機	jì suàn jī	ㄐㄧˋ ㄙㄨㄢˋ ㄐㄧ		计算机〔計算機〕jì suàn jīㄐㄧˋ ㄙㄨㄢˋ ㄐㄧcomputer (Tw) calculator CL:臺|台[tai2]
例子	例子	lì zi	ㄌㄧˋ ㄗ˙		例子lì ziㄌㄧˋ ㄗ˙case (for) instance example CL:個|个[ge4]
商人	商人	shāng rén	ㄕㄤ ㄖㄣˊ		商人shāng rénㄕㄤ ㄖㄣˊmerchant businessman
少年	少年	shào nián	ㄕㄠˋ ㄋㄧㄢˊ		少年shào niánㄕㄠˋ ㄋㄧㄢˊyoungster juvenile
笔记本	筆記本	bǐ jì běn	ㄅㄧˇ ㄐㄧˋ ㄅㄣˇ		笔记本〔筆記本〕bǐ jì běnㄅㄧˇ ㄐㄧˋ ㄅㄣˇnotebook (stationery) CL:本[ben3] notebook (computing)
院子	院子	yuàn zi	ㄩㄢˋ ㄗ˙		院子yuàn ziㄩㄢˋ ㄗ˙courtyard garden yard patio CL:個|个[ge4] (old) servant
大小	大小	dà xiǎo	ㄉㄚˋ ㄒㄧㄠˇ		大小dà xiǎoㄉㄚˋ ㄒㄧㄠˇdimension magnitude size measurement large and small at any rate adults and children consideration of seniority
教室	教室	jiào shì	ㄐㄧㄠˋ ㄕˋ		教室jiào shìㄐㄧㄠˋ ㄕˋclassroom CL:間|间[jian1]
校园	校園	xiào yuán	ㄒㄧㄠˋ ㄩㄢˊ		校园〔校園〕xiào yuánㄒㄧㄠˋ ㄩㄢˊcampus
休假	休假	xiū jià	ㄒㄧㄡ ㄐㄧㄚˋ		休假xiū jiàㄒㄧㄡ ㄐㄧㄚˋto take a vacation to go on holiday
实习	實習	shí xí	ㄕˊ ㄒㄧˊ		实习〔實習〕shí xíㄕˊ ㄒㄧˊto practice field work to intern internship
云	雲	yún, Yún	ㄩㄣˊ		云〔雲〕yúnㄩㄣˊ(classical) to say cloud CL:朵[duo3]云〔雲〕Yúnㄩㄣˊsurname Yun abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]
路边	路邊	lù biān	ㄌㄨˋ ㄅㄧㄢ		路边〔路邊〕lù biānㄌㄨˋ ㄅㄧㄢcurb roadside wayside
学期	學期	xué qī	ㄒㄩㄝˊ ㄑㄧ		学期〔學期〕xué qīㄒㄩㄝˊ ㄑㄧterm semester CL:個|个[ge4]
从小	從小	cóng xiǎo	ㄘㄨㄥˊ ㄒㄧㄠˇ		从小〔從小〕cóng xiǎoㄘㄨㄥˊ ㄒㄧㄠˇfrom childhood as a child
大大	大大	dà dà	ㄉㄚˋ ㄉㄚˋ		大大dà dàㄉㄚˋ ㄉㄚˋgreatly enormously (dialect) dad uncle
阴	隂	Yīn, yīn	ㄧㄣ		阴〔隂〕Yīnㄧㄣsurname Yin阴〔隂〕yīnㄧㄣovercast (weather) cloudy shady Yin (the negative principle of Yin and Yang) negative (electric.) feminine moon implicit hidden genitalia variant of 陰|阴[yin1]
网球	網球	wǎng qiú	ㄨㄤˇ ㄑㄧㄡˊ		网球〔網球〕wǎng qiúㄨㄤˇ ㄑㄧㄡˊtennis tennis ball CL:個|个[ge4]
走过	走過	zǒu guò	ㄗㄡˇ ㄍㄨㄛˋ		走过〔走過〕zǒu guòㄗㄡˇ ㄍㄨㄛˋto walk past to pass by
这时候	這時候	zhèshíhòu	ㄓㄜˋ ㄕˊ ㄏㄡˋ		这时候〔這時候〕zhèshíhòuㄓㄜˋ ㄕˊ ㄏㄡˋAt this moment
大衣	大衣	dà yī	ㄉㄚˋ ㄧ		大衣dà yīㄉㄚˋ ㄧovercoat topcoat cloak CL:件[jian4]
菜单	菜單	cài dān	ㄘㄞˋ ㄉㄢ		菜单〔菜單〕cài dānㄘㄞˋ ㄉㄢmenu CL:份[fen4],張|张[zhang1]
北方	北方	běi fāng	ㄅㄟˇ ㄈㄤ		北方běi fāngㄅㄟˇ ㄈㄤnorth the northern part a country China north of the Yellow River
青年	青年	qīng nián	ㄑㄧㄥ ㄋㄧㄢˊ		青年qīng niánㄑㄧㄥ ㄋㄧㄢˊyouth youthful years young person the young
动物园	動物園	dòng wù yuán	ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ		动物园〔動物園〕dòng wù yuánㄉㄨㄥˋ ㄨˋ ㄩㄢˊzoo CL:個|个[ge4]
今后	今後	jīn hòu	ㄐㄧㄣ ㄏㄡˋ		今后〔今後〕jīn hòuㄐㄧㄣ ㄏㄡˋhereafter henceforth in the future from now on
夜里	夜裡	yè li	ㄧㄝˋ ㄌㄧ˙		夜里〔夜裡〕yè liㄧㄝˋ ㄌㄧ˙during the night at night nighttime
打工	打工	dǎ gōng	ㄉㄚˇ ㄍㄨㄥ		打工dǎ gōngㄉㄚˇ ㄍㄨㄥto work a temporary or casual job (of students) to have a job outside of class time, or during vacation
等到	等到	děng dào	ㄉㄥˇ ㄉㄠˋ		等到děng dàoㄉㄥˇ ㄉㄠˋto wait until by the time when (sth is ready etc)
多数	多數	duō shù	ㄉㄨㄛ ㄕㄨˋ		多数〔多數〕duō shùㄉㄨㄛ ㄕㄨˋmajority most
平等	平等	píng děng	ㄆㄧㄥˊ ㄉㄥˇ		平等píng děngㄆㄧㄥˊ ㄉㄥˇequal equality
画家	畫家	huà jiā	ㄏㄨㄚˋ ㄐㄧㄚ		画家〔畫家〕huà jiāㄏㄨㄚˋ ㄐㄧㄚpainter CL:個|个[ge4]
重视	重視	zhòng shì	ㄓㄨㄥˋ ㄕˋ		重视〔重視〕zhòng shìㄓㄨㄥˋ ㄕˋto attach importance to sth to value
照相	照相	zhào xiàng	ㄓㄠˋ ㄒㄧㄤˋ		照相zhào xiàngㄓㄠˋ ㄒㄧㄤˋto take a photograph
英文	英文	Yīng wén	ㄧㄥ ㄨㄣˊ		英文Yīng wénㄧㄥ ㄨㄣˊEnglish (language)
出租	出租	chū zū	ㄔㄨ ㄗㄨ		出租chū zūㄔㄨ ㄗㄨto rent
举手	舉手	jǔ shǒu	ㄐㄩˇ ㄕㄡˇ		"举手〔舉手〕jǔ shǒuㄐㄩˇ ㄕㄡˇto raise a hand to put up one's hand (as signal)"
笔记	筆記	bǐ jì	ㄅㄧˇ ㄐㄧˋ		笔记〔筆記〕bǐ jìㄅㄧˇ ㄐㄧˋto take down (in writing) notes a type of literature consisting mainly of short sketches CL:本[ben3]
常见	常見	cháng jiàn	ㄔㄤˊ ㄐㄧㄢˋ		常见〔常見〕cháng jiànㄔㄤˊ ㄐㄧㄢˋcommonly seen common to see sth frequently
